Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,Breitengrad,Längengrad,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW]
Hotel Dorfkrug Büsum GmbH & Co. KG,Alte Dorfstraße,13,25761,Büsum,Schleswig-Holstein,54.132206,8.859006,120.0,Schnellladeeinrichtung,2,DC Kupplung Combo,120,DC Kupplung Combo,120.0,,,,
Hotel Dorfkrug Büsum GmbH & Co. KG,Alte Dorfstraße,4,25761,Büsum,Schleswig-Holstein,54.131663,8.859033,50.0,Schnellladeeinrichtung,1,"AC Kupplung Typ 2, DC Kupplung Combo, DC CHAdeMO",50,,,,,,
E.ON Drive GmbH,Fischereihafen,1,25761,Büsum,Schleswig-Holstein,54.12947,8.86708,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Am Fischereihafen,1,25761,Büsum,Schleswig-Holstein,54.129687,8.867516,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Heider Straße,4,25761,Büsum,Schleswig-Holstein,54.13852,8.87303,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Heider Straße,4,25761,Büsum,Schleswig-Holstein,54.1387,8.87345,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
EnBW mobility+ AG und Co.KG,Hafentörn,2,25761,Büsum,Schleswig-Holstein,54.137559,8.874535,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
GP JOULE Connect GmbH,Am Bauhof,13,25761,Büsum,Schleswig-Holstein,54.140303,8.877273,300.0,Schnellladeeinrichtung,4,DC Kupplung Combo,75,DC Kupplung Combo,75.0,DC Kupplung Combo,75.0,DC Kupplung Combo,75.0
Flugplatz Heide Büsum GmbH,Am Flugplatz,7,25761,Oesterdeichstrich,Schleswig-Holstein,54.153474,8.895143,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
E.ON Drive GmbH,Hauptstr.,52,25764,Süderdeich,Schleswig-Holstein,54.20077,8.40881,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,52,25764,Süderdeich,Schleswig-Holstein,54.20077,8.40881,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Ahornweg,1,25764,Norddeich,Schleswig-Holstein,54.21738,8.89843,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Ahornweg,1,25764,Norddeich,Schleswig-Holstein,54.217351,8.89845,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,52,25764,Süderdeich,Schleswig-Holstein,54.2008,8.909,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,52,25764,Süderdeich,Schleswig-Holstein,54.2008,8.909,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,52,25764,Süderdeich,Schleswig-Holstein,54.2008,8.909,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Blauort,11,25764,Wesselburen,Schleswig-Holstein,54.210577,8.921203,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Blauort,11,25764,Wesselburen,Schleswig-Holstein,54.210577,8.921203,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Blauort,11,25764,Wesselburen,Schleswig-Holstein,54.210577,8.921203,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
