Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,Breitengrad,Längengrad,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW]
GP JOULE Connect GmbH,Moltkestr.,32,24837,Schleswig,Schleswig-Holstein,54.51996703,9.55739197,11.0,Normalladeeinrichtung,4,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11.0,AC Steckdose Typ 2,11.0,AC Steckdose Typ 2,11.0
GP JOULE Connect GmbH,Moltkestraße,34,24837,Schleswig,Schleswig-Holstein,54.52003548,9.558295312,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Moltkestraße,34,24837,Schleswig,Schleswig-Holstein,54.52006662,9.558327498,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Moltkestrasse,34,24837,Schleswig,Schleswig-Holstein,54.52003548,9.558338227,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Moltkestraße,34,24837,Schleswig,Schleswig-Holstein,54.52007285,9.558348956,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,2,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,2,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,2,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,2,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,2,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,13,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,13,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,13,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,13,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Stadtfeld,13,24837,Schleswig,Schleswig-Holstein,54.521061,9.563741,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Königstraße,9,24837,Schleswig,Schleswig-Holstein,54.514816,9.566383,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Sankt Jürgener Straße,1,24837,Schleswig,Schleswig-Holstein,54.5239801,9.57009494,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Sankt Jürgener Straße,1,24837,Schleswig,Schleswig-Holstein,54.5239801,9.57009494,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,St. Jürgener Str.,1-3,24837,Schleswig,Schleswig-Holstein,54.52398009,9.570094943,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Molkestraße,34,24837,Schleswig,Schleswig-Holstein,54.52402,9.5701,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Am Hafen,1,24837,Schleswig,Schleswig-Holstein,54.51167,9.57121,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Am Hafen,1,24837,Schleswig,Schleswig-Holstein,54.51167,9.57121,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Rathausmarkt,1,24837,Schleswig,Schleswig-Holstein,54.51413463,9.571629167,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Rathausmarkt,1,24837,Schleswig,Schleswig-Holstein,54.5141346,9.57162917,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Autohaus Jordt Automobil Handelsgesellschaft mbH,St. Jürgener Str.,52,24837,Schleswig,Schleswig-Holstein,54.531215,9.574939,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Schleswiger Stadtwerke GmbH,Sankt Jürgener Straße,52,24837,Schleswig,Schleswig-Holstein,54.5312,9.57499,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Marie-Curie-Str.,1,24837,Schleswig,Schleswig-Holstein,54.54218019,9.581189166,300.0,Schnellladeeinrichtung,2,DC Kupplung Combo,300,DC Kupplung Combo,300.0,,,,
GP JOULE Connect GmbH,Ilensee,8,24837,Schleswig,Schleswig-Holstein,54.516934,9.583036,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Schleswiger Stadtwerke GmbH,Werkstraße,1,24837,Schleswig,Schleswig-Holstein,54.51757,9.58457,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Elektro Jessen,Heinrich-Hertz-Straße,18,24837,Schleswig,Schleswig-Holstein,54.537282,9.584805,50.0,Schnellladeeinrichtung,4,DC Kupplung Combo,50,DC Kupplung Combo,50.0,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0
GP JOULE Connect GmbH,Theodor-Storm-Allee,2,24848,Kropp,Schleswig-Holstein,54.410908,9.508384,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Autohaus Thomsen GmbH,Werkstraße,2,24848,Kropp,Schleswig-Holstein,54.413018,9.528696,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Aral Pulse,Westring,19,24850,Schuby,Schleswig-Holstein,54.51896736,9.464544654,300.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300,DC Kupplung Combo,300.0,,,,
Aral Pulse,Westring,19,24850,Schuby,Schleswig-Holstein,54.51896736,9.464544654,300.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300,DC Kupplung Combo,300.0,,,,
E.ON Drive GmbH,Husumer Straße,5,24850,Schuby,Schleswig-Holstein,54.519063,9.476458,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Husumer Straße,5,24850,Schuby,Schleswig-Holstein,54.519334,9.476691,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Eggebek,Hauptstraße,60,24852,Eggebek,Schleswig-Holstein,54.618992,9.367782,30.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,15,AC Steckdose Typ 2,15.0,,,,
Privatperson,Hauptstr.,5a,24852,Eggebek,Schleswig-Holstein,54.6201157,9.379005,11.0,Normalladeeinrichtung,1,AC Kupplung Typ 2,11,,,,,,
Eider-Treene-Sorge GmbH,Haupstr.,2,24852,Eggebek,Schleswig-Holstein,54.61964,9.379869,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Jübek c/o Amt Arensharde,Bahnhofstr.,0,24855,Jübek,Schleswig-Holstein,54.558686,9.405244,50.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Tweebarg,34,24866,Busdorf,Schleswig-Holstein,54.487456,9.543281,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Allego GmbH,Wittgenstein,2,24866,Schleswig-Busdorf,Schleswig-Holstein,54.476667,9.544566,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,150.0,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Tesla Germany GmbH,Wittgenstein,9,24866,Busdorf,Schleswig-Holstein,54.477799,9.544758,250.0,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,
Schleswiger Stadtwerke GmbH,Rendbsurger Straße,54c,24866,Busdorf,Schleswig-Holstein,54.490385,9.551035,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Schulstrasse,1,24866,Busdorf,Schleswig-Holstein,54.49257,9.553339,150.0,Schnellladeeinrichtung,1,"AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO",150,,,,,,
GP JOULE Connect GmbH,Schulstraße,1,24866,Busdorf,Schleswig-Holstein,54.492415,9.553446,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,75,"DC Kupplung Combo, DC CHAdeMO",75.0,,,,
Gemeinde Tarp,Sieverstedter Straße,3-5,24885,Sieverstedt,Schleswig-Holstein,54.642122,9.471456,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Eider-Treene-Sorge GmbH,Hauptstr.,41,24887,Silberstedt,Schleswig-Holstein,54.51813,9.3691,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Gemeinde Silberstedt,Hauptstr.,41,24887,Silberstedt,Schleswig-Holstein,54.518365,9.36959,55.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Gemeinde Silberstedt,An´t Doktorhuss,0,24887,Silberstedt,Schleswig-Holstein,54.515812,9.375924,78.0,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0
Zum goldenen Stern - Gaststätte,Hauptstr.,6,24890,Stolk,Schleswig-Holstein,54.598194,9.541237,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,42,24893,Taarstedt,Schleswig-Holstein,54.579445,9.68934,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Treia c/o Amt Arensharde,Treenestraße,0,24896,Treia,Schleswig-Holstein,54.51458,9.3202,50.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Tastruper Weg,50,24943,Tastrup,Schleswig-Holstein,54.765799,9.47798,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Pattburg Poetzsch GmbH & Co. KG,Industrieweg,40,24955,Harrislee,Schleswig-Holstein,54.794278,9.373,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Süderstraße,81,24955,Harrislee,Schleswig-Holstein,54.800189,9.397607,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,20,AC Steckdose Typ 2,20.0,,,,
GP JOULE Connect GmbH,Kirstenstr.,6,24960,Gluecksburg,Schleswig-Holstein,54.84195561,9.532858814,22.0,Normalladeeinrichtung,3,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0,,
Eider-Treene-Sorge GmbH,Stapelholmer Weg,0,24963,Tarp,Schleswig-Holstein,54.6572,9.39424,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Hans Carstens GmbH,Wanderuper Str.,14,24963,Tarp,Schleswig-Holstein,54.667164,9.394974,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
E.ON Drive GmbH,Friedrich-Fröbel-Str.,11,24963,Tarp,Schleswig-Holstein,54.66189685,9.395377137,11.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
E.ON Drive GmbH,Friedrich-Fröbel-Str.,11,24963,Tarp,Schleswig-Holstein,54.66189114,9.395434109,11.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
GP JOULE Connect GmbH,Stapelholmer Weg,13a,24963,Tarp,Schleswig-Holstein,54.662222,9.398984,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Bahnhofstraße,1,24963,Tarp,Schleswig-Holstein,54.66375,9.40003,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Schleswiger Straße,1,24966,Sörup,Schleswig-Holstein,54.716507,9.669377,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
e-Mobilität Linnau/Lindewitt e.V.,Am Spielplatz,4,24969,Lindewitt,Schleswig-Holstein,54.703644,9.17431,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
"Gemeinde Großenwiehe über Amt Schafflund, Gebietskörperschaft",Alter Bahndamm,1,24969,Großenwiehe,Schleswig-Holstein,54.69555995,9.246618528,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
"Gemeinde Großenwiehe über Amt Schafflund, Gebietskörperschaft",Hauptsraße,7,24969,Großenwiehe,Schleswig-Holstein,54.70459627,9.248185627,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
EDEKA Handelsgesellschaft Nord mbH,Meiereistraße,10,24972,Steinbergkirche,Schleswig-Holstein,54.756551,9.756354,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Glücksburger Straße,1a,24975,Husby,Schleswig-Holstein,54.765917,9.575831,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Flensburger Str.,36,24975,Husby,Schleswig-Holstein,54.76551,9.577511,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Handewitt,Schulstraße,20,24976,Handewitt,Schleswig-Holstein,54.7426326,9.3897534,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Handewitt,Zum Sportplatz,9,24976,Handewitt,Schleswig-Holstein,54.7410847,9.4347727,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Strandweg,0,24977,Langballig,Schleswig-Holstein,54.82165053,9.655174613,22.0,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0
James Farm,Nordhackstedter Str.,2a,24980,Hörup,Schleswig-Holstein,54.73989972,9.104268651,180.0,Schnellladeeinrichtung,3,DC Kupplung Combo,150,DC Kupplung Combo,150.0,AC Steckdose Typ 2,22.0,,
ecar Northtec,Nylanndamm,4,24980,Schafflund,Schleswig-Holstein,54.76383,9.17523,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
"Gemeinde Schafflund über Amt Schafflund, Gebietskörperschaft",Tannenweg,1,24980,Schafflund,Schleswig-Holstein,54.75803322,9.18844541,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Lidl,Osterfeld,2,24980,Schafflund,Schleswig-Holstein,54.7614725,9.1921647,93.0,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",50,"AC Kupplung Typ 2, DC Kupplung Combo",50.0,"AC Kupplung Typ 2, DC CHAdeMO",44.0,,
Privatperson,Sommers Barg,38,24980,Wallsbüll,Schleswig-Holstein,54.78028023,9.233736343,11.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",11,AC Steckdose Typ 2,11.0,,,,
ecar Northtec,Ellunder Str.,1,24980,Wallsbüll,Schleswig-Holstein,54.777343,9.235793,33.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Osternstraße,2,24983,Handewitt,Schleswig-Holstein,54.763213,9.325209,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive Infrastructure,Ellund West,0,24983,Handewitt,Schleswig-Holstein,54.804014,9.328616,93.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50.0,,,,
E.ON Drive Infrastructure,Raststätte Ellund-West (Str. Ellund-Ost),0,24983,Handewitt,Schleswig-Holstein,54.80343,9.328791,175.0,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",175,,,,,,
E.ON Drive Infrastructure,Raststätte Ellund-West (Str. Ellund-Ost),0,24983,Handewitt,Schleswig-Holstein,54.80343,9.328791,175.0,Schnellladeeinrichtung,1,"DC Kupplung Combo, DC CHAdeMO",175,,,,,,
Allego GmbH,Scandinavian-Park,1,24983,Handewitt,Schleswig-Holstein,52.382725,9.333851,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
HanseWerk Charging Station,Flensburger Straße,29,24986,Mittelangeln,Schleswig-Holstein,54.693724,9.596409,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
E.ON Drive GmbH,Flensburger Str.,29,24986,Mittelangeln (Satrup),Schleswig-Holstein,54.69372,9.59641,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
GP JOULE Connect GmbH,Schleswiger Str.,10,24986,Satrup,Schleswig-Holstein,54.691137,9.603733,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Schulstraße,9,24988,Oeversee,Schleswig-Holstein,54.698887,9.428995,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Tarp,Stapelholmer Weg,39,24988,Oeversee,Schleswig-Holstein,54.69881,9.42921,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,An der Nordstr.,4,24989,Dollerup,Schleswig-Holstein,54.78374859,9.671981335,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Holm,1,24991,Großsolt,Schleswig-Holstein,54.728545,9.490161,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Holm,4,24991,Freienwill,Schleswig-Holstein,54.728576,9.490334,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Husum GmbH,Koopmannsweg,1,24991,Großsolt,Schleswig-Holstein,54.707289,9.529503,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Jardelund,Westring,8,24994,Jardelund,Schleswig-Holstein,54.82697,9.19792,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Wanderup,Flensburger Str.,9,24997,Wanderup,Schleswig-Holstein,54.689206,9.330879,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Flensburger Straße,9,24997,Wanderup,Schleswig-Holstein,54.689206,9.330879,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Gemeinde Wanderup,Tarper Str.,19,24997,Wanderup,Schleswig-Holstein,54.688882,9.338586,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
GP JOULE Connect GmbH,Tarper Straße,19,24997,Wanderup,Schleswig-Holstein,54.688882,9.338586,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
E.ON Drive GmbH,Breite Straße,3,25879,Stapel,Schleswig-Holstein,54.361702,9.243804,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Norderstedt,Elfenhagen,62,22844,Norderstedt,Schleswig-Holstein,53.7547,9.9788,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Stadtwerke Norderstedt,Beim Umspannwerk,2,22844,Norderstedt,Schleswig-Holstein,53.73464,9.98798,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
