Segment,Modell,Elektro
UTILITIES,HYUNDAI STARIA,-
UTILITIES,MAN TGE,10
UTILITIES,MERCEDES CITAN,20
UTILITIES,MERCEDES SPRINTER,1
UTILITIES,MERCEDES VITO,452
UTILITIES,NISSAN NV200,64
UTILITIES,NISSAN NV300,-
UTILITIES,NISSAN PRIMASTAR,-
UTILITIES,NISSAN TOWNSTAR,1
UTILITIES,OPEL COMBO,817
UTILITIES,OPEL ZAFIRA LIFE,584
UTILITIES,PEUGEOT BOXER,-
UTILITIES,PEUGEOT EXPERT,119
UTILITIES,PEUGEOT RIFTER,424
UTILITIES,RENAULT KANGOO,-
UTILITIES,RENAULT MASTER,-
UTILITIES,RENAULT TRAFIC,-
UTILITIES,TOYOTA PROACE,186
UTILITIES,VW CADDY,-
UTILITIES,VW CRAFTER,33
UTILITIES,VW ID. BUZZ,1367
UTILITIES,VW TRANSPORTER,100
UTILITIES,SONSTIGE,-
UTILITIES ZUSAMMEN,,5137
WOHNMOBILE,CITROEN JUMPER,-
WOHNMOBILE,CITROEN JUMPY,38
WOHNMOBILE,FIAT DUCATO,-
WOHNMOBILE,"FORD TRANSIT, TOURNEO",-
WOHNMOBILE,IVECO DAILY,-
WOHNMOBILE,IVECO EUROCARGO,-
WOHNMOBILE,MAN TGE,-
WOHNMOBILE,MAN TGM,-
WOHNMOBILE,MERCEDES SPRINTER,1
WOHNMOBILE,MERCEDES V-KLASSE,-
WOHNMOBILE,MERCEDES VITO,-
WOHNMOBILE,OPEL ZAFIRA LIFE,-
WOHNMOBILE,PEUGEOT BOXER,-
WOHNMOBILE,PEUGEOT EXPERT,-
WOHNMOBILE,RENAULT MASTER,-
WOHNMOBILE,RENAULT TRAFIC,-
WOHNMOBILE,TOYOTA PROACE,-
WOHNMOBILE,VW CADDY,-
WOHNMOBILE,VW CRAFTER,-
WOHNMOBILE,VW TRANSPORTER,-
WOHNMOBILE,SONSTIGE,1
WOHNMOBILE ZUSAMMEN,,40
SONSTIGE,,7144
NEUZULASSUNGEN INSGESAMT,,470559
