ID,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,ID
77,GP JOULE Connect GmbH,Am Bauhof,13,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.140303,8.877273,2021-06-18,300,Schnellladeeinrichtung,4,DC Kupplung Combo,75,,DC Kupplung Combo,75,,DC Kupplung Combo,75,,DC Kupplung Combo,75,,77
78,Flugplatz Heide Büsum GmbH,Am Flugplatz,7,,25761,Oesterdeichstrich,Schleswig-Holstein,Kreis Dithmarschen,54.153474,8.895143,2020-01-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,,78
79,E.ON Drive GmbH,Hauptstr.,52,bei Nr. 52,25764,Süderdeich,Schleswig-Holstein,Kreis Dithmarschen,54.20077,8.40881,2020-02-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,79
80,E.ON Drive GmbH,Hauptstr.,52,bei Nr. 52,25764,Süderdeich,Schleswig-Holstein,Kreis Dithmarschen,54.20077,8.40881,2020-02-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,80
81,E.ON Drive GmbH,Ahornweg,1,,25764,Norddeich,Schleswig-Holstein,Kreis Dithmarschen,54.21738,8.89843,2018-05-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,81
82,HanseWerk Charging Station,Ahornweg,1,bei 1,25764,Norddeich,Schleswig-Holstein,Kreis Dithmarschen,54.217351,8.89845,2022-02-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,82
83,E.ON Drive GmbH,Hauptstr.,52,bei Nr. 52,25764,Süderdeich,Schleswig-Holstein,Kreis Dithmarschen,54.2008,8.909,2020-02-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,83
84,E.ON Drive GmbH,Hauptstr.,52,bei Nr. 52,25764,Süderdeich,Schleswig-Holstein,Kreis Dithmarschen,54.2008,8.909,2020-02-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,84
85,E.ON Drive GmbH,Hauptstr.,52,bei Nr. 52,25764,Süderdeich,Schleswig-Holstein,Kreis Dithmarschen,54.2008,8.909,2020-02-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,85
86,E.ON Drive GmbH,Blauort,11,bei Nr. 11,25764,Wesselburen,Schleswig-Holstein,Kreis Dithmarschen,54.210577,8.921203,2020-02-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,86
